P1000588.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000589.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000590.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000591.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000592.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000593.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000594.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000595.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000596.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000597.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000598.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
P1000599.jpg, [ 5592.663  0  1948.717;  0  5609.173  1051.001;  0  0  1 ], [ 0.057002  1.922135  0.002420  0.001660 ]
